d = 19, symClass = C, D = 16.000000
12, 8, 0.09657538989940585
9, 9, 1.597072430405779
17, 6, -0.4391560628187545
5, 10, -0.8035828004948263
-5, 11, 0.5289754005594841
15, 7, -0.3844151550572676
24, 0, 1.527804786831639
-4, 11, -0.03199723124145176
19, 5, -1.217987976090039
-3, 11, -0.2383636892576236
-2, 11, -0.4221541844936069
13, 8, -0.1422939096289685
23, 2, -1.281018961012062
22, 3, -1.918888376848707
10, 9, 0.587419693207283
-1, 11, 0.5731279516570293
6, 10, 0.3400997158054198
24, 1, 0.9337650706603199
21, 4, 0.7216268766246862
0, 11, 0.0826254522269339
18, 6, 0.8594577648515964
16, 7, 1.149300889922905
1, 11, 0.2468856724563181
7, 10, 0.8389825623581265
25, 0, 0.4388045023273482
20, 5, 0.1466162835804805
11, 9, -0.1948099253168105
14, 8, 0.3847505629718262
2, 11, -0.07910318814432546
23, 3, 0.05683622114209984
24, 2, 0.5179814824384691
8, 10, -0.3954012775171542
3, 11, -0.1220627920511437
22, 4, -0.574848848997354
17, 7, -0.6147151416039188
25, 1, -0.037400256170847
19, 6, -0.656112285007222
12, 9, -2.378560753471915
15, 8, 2.089492490629989
4, 11, 1.566638425493418
21, 5, -0.009946827662487123
9, 10, 0.5163215046020817
26, 0, -0.172188298833327
-6, 12, 1.621416015226904e-17
5, 11, 1.52793514177035
-5, 12, -1.750632594255742
-4, 12, -0.006033277999389979
13, 9, -0.4362971134596098
24, 3, 0.03590184428267022
-3, 12, 1.467343941166058
25, 2, -1.418680728197242
18, 7, -1.308040805593014
20, 6, -1.772765899326366
10, 10, -2.042249540434542
-2, 12, -0.5485523783882024
23, 4, 0.9406604426950211
16, 8, -0.4147810630304603
26, 1, 1.655245794571225
6, 11, -1.750127836712012
-1, 12, -0.03322807633212815
22, 5, 0.8864057009582116
0, 12, 0.03586427015363527
14, 9, 0.05858189576111398
27, 0, -0.8549912686571954
11, 10, 0.03878945264012135
7, 11, -0.04528317470490734
1, 12, 1.171308416074468
19, 7, -0.09519292277514105
25, 3, 0.5650485581517765
17, 8, 0.7628115434826498
21, 6, 1.116026759388047
26, 2, 0.2905930996089586
2, 12, -0.7572584856682466
24, 4, 0.03850506032500231
8, 11, -0.361482271987122
27, 1, 0.2010842925248465
12, 10, 0.9554181473055912
15, 9, 1.420863943518263
3, 12, 1.920625999891604
23, 5, -1.308856630894216
28, 0, 0.0446011945573935
4, 12, -0.04205469402140759
20, 7, 0.5263777116865407
9, 11, 0.7501045082840925
18, 8, 0.9890526922782664
22, 6, -0.05169509746596494
26, 3, 0.4154754978631039
13, 10, -0.9520364831078381
27, 2, 0.6476451161314536
-6, 13, -0.6438575238796904
25, 4, 0.4055661578722936
16, 9, 0.1756461273294274
5, 12, -0.6904182470852409
-5, 13, 0.3892196292895551
-4, 13, 1.197058886072113
10, 11, -0.8711823514742366
-3, 13, -1.205448506982765
28, 1, 0.005444821261795454
24, 5, 0.1464769229480427
-2, 13, 0.8236588195858398
6, 12, -0.6999405610118984
21, 7, -0.3107547513650978
19, 8, 1.368021037405792
-1, 13, 0.7819965546973204
14, 10, -0.8785969793562187
29, 0, -0.08879881490389999
0, 13, 0.05006248231611368
23, 6, -0.7738265224565778
11, 11, -0.2848821937808439
17, 9, -0.04240064250407968
7, 12, -0.292654777740138
27, 3, -2.801754572955578
1, 13, 0.4769783583315428
28, 2, 0.01885984046574425
26, 4, -0.0316083763427534
29, 1, 1.014952857328738
25, 5, 0.02971895333196212
15, 10, -1.784273202992108
2, 13, -1.522397685195703
20, 8, 0.06176400737194159
8, 12, 0.08123746396438215
12, 11, -0.6390998768041903
22, 7, -0.957827486472081
18, 9, 0.6645291150730198
3, 13, -1.146624114136547
30, 0, 3.130020297574901
24, 6, 1.778865212728297
9, 12, -2.609595050875941
28, 3, -0.7815934645583018
4, 13, 0.175617138761565
16, 10, -0.8220868683826933
27, 4, -0.8956449736981884
13, 11, 1.237596483296164
29, 2, -0.8514886780737385
21, 8, 0.1225424875294141
26, 5, -1.802735223695541
-7, 14, -1.217725908222049e-15
-6, 14, 1.504641822360077
30, 1, -0.7315951545168523
23, 7, -1.171929832357778
5, 13, -0.1290750111326653
-5, 14, -0.03990060461918257
19, 9, 0.09045175805415186
10, 12, 1.181309229516025
-4, 14, 1.503403078483432
-3, 14, -1.043479859205497
25, 6, 0.3229873903695424
14, 11, 0.878548998538075
-2, 14, -0.6730067011242479
17, 10, -0.4243682853569293
6, 13, 1.192201163767978
31, 0, -0.08501266092533125
-1, 14, -0.4712921923253293
29, 3, 0.86297109805398
11, 12, 0.4814985248732932
28, 4, 0.04374331043993342
30, 2, 2.286360542525652
22, 8, 1.93457409808604
0, 14, -0.1865439282846104
20, 9, 1.118094411342214
7, 13, 1.69321401298994
27, 5, -0.03460541899695674
24, 7, 0.03386314846057147
15, 11, 1.392292979565432
1, 14, 1.362233040297938
31, 1, -0.06630739872815979
18, 10, -0.7677115528558786
12, 12, -0.1236555042585797
26, 6, 0.2499134373712146
2, 14, -0.1301378525016311
8, 13, -0.6900786408786328
32, 0, -0.1491098280655316
3, 14, 0.3807279884952381
23, 8, -1.299417994436886
30, 3, 0.3944785276136291
21, 9, -0.01252661960368373
29, 4, -0.01637595784601047
16, 11, -0.5931790863352229
31, 2, 0.01356576542914872
9, 13, -0.6682961983027579
25, 7, 1.016089087786402
13, 12, 0.5051978595218265
28, 5, 0.3511779724352487
19, 10, 0.1350975661358125
4, 14, 0.1202282274686636
32, 1, -0.2396641488960427
-7, 15, 0.9663126134623374
27, 6, 0.0377611281365465
-6, 15, 1.685355746273736
-5, 15, 0.1530901463821201
10, 13, 0.09071132579711105
5, 14, -0.08329823958598487
17, 11, 0.2966443799110124
-4, 15, 0.1403297360831491
14, 12, 0.7005358704366897
22, 9, 1.115870233922833
24, 8, 0.4992980508605392
33, 0, 0.4366200267386192
-3, 15, 0.5605039455500924
31, 3, 0.07099224095600386
-2, 15, -0.7003896868227337
30, 4, -1.081042854061122
20, 10, -0.8497637640129589
6, 14, 0.1151608116917279
26, 7, -0.511254968965879
32, 2, 0.2574680530193446
11, 13, 0.4586104396548371
29, 5, 0.6621188430553078
-1, 15, -0.7548299957110348
0, 15, -1.390092678813482
15, 12, -1.944414368303546
33, 1, -0.1157487277222593
18, 11, 0.3615083545552567
7, 14, 0.2530780032514361
28, 6, 0.1724600093077486
23, 9, -0.06428977851838896
1, 15, -1.08821799144006
25, 8, 0.7287285660422996
12, 13, 0.2506971366196041
21, 10, -1.291122492119154
34, 0, -0.2933584103019149
8, 14, -0.1815681355336471
2, 15, -0.4836347947498251
27, 7, 0.4313729500784575
32, 3, -0.8657936826980933
31, 4, 0.00913341901694374
16, 12, 0.1115667972526225
33, 2, -1.335834702345769
30, 5, -0.9770385721034073
19, 11, 0.2252860399265335
3, 15, 1.634738783831557
13, 13, -0.1726091586055291
9, 14, 0.5132368213120507
34, 1, 1.444878754391175
29, 6, 1.053535250775297
24, 9, 1.381466302134621
4, 15, -0.1630189206897335
26, 8, -0.08386106805204016
22, 10, 0.09014701218357753
17, 12, -0.3350793860551673
-8, 16, 1.142738106903396e-15
-7, 16, -0.7847296639680301
10, 14, 0.3832368087459123
-6, 16, 0.7491484865165782
14, 13, 0.1667952801977741
35, 0, -1.131723650793397
28, 7, -0.6431855519844079
20, 11, -0.6207427830363248
5, 15, 1.06710800737877
-5, 16, -1.83366866343433
32, 4, -0.001683982120793559
-4, 16, -0.06882601747508756
33, 3, -0.5884032403946239
31, 5, -0.7794071222053219
-3, 16, -0.7752558272739594
34, 2, -0.01614989290658576
6, 15, -0.2923288445861658
-2, 16, 0.5588803031549148
25, 9, 0.8087051257616928
11, 14, 0.3622921430095046
23, 10, 0.02817567410510981
30, 6, -1.100099008175267
18, 12, -2.134474152027528
35, 1, 0.3917014230820687
27, 8, 0.3160281748573415
15, 13, -0.5302207529099743
-1, 16, -0.384899762764975
21, 11, 0.7678098538395114
7, 15, 0.03266913397977385
0, 16, 0.3222425702723302
29, 7, -1.003282338941644
12, 14, 0.9629640533245978
36, 0, 0.1148110468425489
1, 16, -0.8017194200570206
33, 4, -0.5356385496648137
34, 3, -0.91826094489416
32, 5, -0.2898220736991502
8, 15, 0.2693186677604232
19, 12, 0.3132880570853602
16, 13, 1.228396654792646
35, 2, -0.7724269277789142
26, 9, -0.7025159808409223
24, 10, -0.1066084361671436
2, 16, 1.2171476202082
31, 6, 0.6152138468733858
28, 8, -0.05234742522819505
22, 11, -0.5509462346159256
