d = 19, symClass = D, D = 16.000000, Y = nan
[15.95203536739025, 15.95208106022494], 15.95203536739025
20, 7, 0.8608427868000134
9, 11, -0.02997753733667637
18, 8, -0.8214828051527214
22, 6, 0.7451320179169835
26, 3, 0.7975256594068278
13, 10, -0.5354343855399901
27, 2, 0.2245286753114751
-6, 13, 0.06492907764406126
25, 4, -0.1189672904960585
16, 9, -0.03398537183666225
5, 12, 0.2557847399827998
-5, 13, 0.4847581445946806
-4, 13, 0.3597808367556607
10, 11, 1.380941628611619
-3, 13, -0.8658913015819107
28, 1, 0.6289016872919537
24, 5, -0.4787419938110111
-2, 13, -0.4133998239666665
6, 12, -0.7739092632143264
21, 7, 0.6987570123454044
19, 8, -0.2813914109573831
-1, 13, -1.095059915378075
14, 10, -0.4447861445686966
29, 0, -1.324013812359726
0, 13, -0.08474794629017653
23, 6, 0.2803791579338575
11, 11, 0.1817370636905369
17, 9, -0.0120345005963521
7, 12, 0.8170175584306992
27, 3, 0.2486764598673116
1, 13, -0.01153369447985427
28, 2, -1.362173212292858
26, 4, 0.7755717078194592
29, 1, 0.1181834042114733
25, 5, -0.8364911803692436
15, 10, -0.04571449375084054
2, 13, 0.1680759553620086
20, 8, -1.300688917382478
8, 12, 1.023069961081031
12, 11, -0.2131215980627007
22, 7, -0.5119339209535374
18, 9, 0.4003048535804972
3, 13, -0.2844912418984219
30, 0, 2.344805856050154
24, 6, -1.328878454527554
9, 12, -0.3146772619380856
28, 3, 0.8041093702598773
4, 13, -0.615920288411525
16, 10, -0.7826194790323349
27, 4, -0.1117729756101446
13, 11, 0.009340902040542663
29, 2, 0.5583605763597367
21, 8, -0.783908600372989
26, 5, -0.6506017417713369
-7, 14, 1.476222144233039
-6, 14, -1.272811275795146
30, 1, 1.434855533838291
23, 7, -1.542227693861997
5, 13, 1.216576173163764
-5, 14, -0.5161920059399744
19, 9, 0.3437110801629825
10, 12, 0.002714199368133533
-4, 14, 0.6793376082529611
-3, 14, 0.4738537647503774
25, 6, 1.063058377858424
14, 11, 0.156529537687518
-2, 14, 0.1883814881601305
17, 10, -1.186356693594416
6, 13, 0.5365206844751473
31, 0, 0.4495805740665059
-1, 14, -0.4986809520396496
29, 3, 0.7832912082608462
11, 12, -0.2981027057633414
28, 4, 1.109752607679803
30, 2, -0.3888754356035087
22, 8, 0.3728785915061155
0, 14, -0.6298845206361965
20, 9, 0.5886283767937219
7, 13, -0.1799642728407286
27, 5, -0.6069432938677809
24, 7, -0.3616618358074216
15, 11, 0.342053586819506
1, 14, -0.9497530207179876
31, 1, 0.2525530981279479
18, 10, 0.2088162204325547
12, 12, -0.6650986941273493
26, 6, -1.289937534536327
2, 14, 1.105089028837349
8, 13, 0.2155409594968919
32, 0, 1.162731353988554
3, 14, 0.6403565264755184
23, 8, 0.7372412162443873
30, 3, 1.178530645144548
21, 9, -1.247070532454762
29, 4, -0.1374791057779365
16, 11, -0.7945161114589144
31, 2, 0.4011963500817324
9, 13, -0.3021453613981355
25, 7, -1.57674444406144
13, 12, 1.459720346971756
28, 5, -0.3310646814840901
19, 10, -0.942994053007759
4, 14, 0.5153963211239118
32, 1, 0.4309685184650525
-7, 15, 0.1117182167369157
27, 6, 1.260147467946245
-6, 15, -0.2900888941625371
-5, 15, 0.01173625529885362
10, 13, -0.1199095434696672
5, 14, -1.292611605212754
17, 11, -0.08658113414454634
-4, 15, 0.7930300909873218
14, 12, 1.254961497029396
22, 9, 0.4298806760409479
24, 8, 1.084480691242251
33, 0, -1.874134737257135
-3, 15, -0.625657863102008
31, 3, 0.1645882634023616
-2, 15, -0.8119074224096577
30, 4, 1.658307755987478
20, 10, 1.980348907377702
6, 14, -1.133278283299347
26, 7, 1.167426988812251
32, 2, 0.2456975049110017
11, 13, 0.2096755262722626
29, 5, 0.4422142613800506
-1, 15, 1.355849221604515
0, 15, 3.021170857511149
15, 12, -0.06951627044108949
33, 1, 0.7121010224906116
18, 11, 0.5776625114298231
7, 14, 0.4427315081321099
28, 6, 0.9063943114118131
23, 9, -1.923996619408455
1, 15, 0.8438808224940673
25, 8, 1.25711654764874
12, 13, 1.011267356571272
21, 10, 1.373003046203799
34, 0, 0.3108168809509444
8, 14, 0.5944782516045545
2, 15, -1.259243913571066
27, 7, 1.380398987804401
32, 3, -0.329406084222866
31, 4, -2.402798479173441
16, 12, 0.2695915483345013
33, 2, 1.210197772219171
30, 5, -4.472805501591782
19, 11, -3.160810254861366
3, 15, -2.681082950876715
13, 13, -5.873470957955504
9, 14, -4.289630222821132
34, 1, -5.404574799674088
29, 6, -1.985799346204688
24, 9, -0.1665170612345632
4, 15, -2.052513654760307
26, 8, 4.013996246406856
22, 10, 0.0454328984668839
17, 12, -0.8879570598257678
-8, 16, -6.420821878312068
-7, 16, -0.1476301676397461
10, 14, 3.788632098142945
-6, 16, 4.149712612574978
14, 13, -0.04224958789237039
35, 0, 2.219084960317736
28, 7, -1.794482441488501
20, 11, 2.031816820936394
5, 15, -0.432146159178216
-5, 16, 1.284182038905445
32, 4, 1.362778084722669
-4, 16, -0.9332646037166304
33, 3, -0.2010029962416838
31, 5, -1.564922402376574
-3, 16, 0.6484297415342849
34, 2, 0.5517099693946689
6, 15, 0.8253939070205387
-2, 16, 0.005999333302742356
25, 9, -0.5227894085441692
11, 14, -0.1716136052054569
23, 10, 0.7233252933281791
30, 6, -2.340093836599497
18, 12, 1.172422963086221
35, 1, 0.4042628530036032
27, 8, -0.10319965845902
15, 13, 0.8935241986894402
-1, 16, -1.476128472772413
21, 11, 0.3726712510783335
7, 15, -0.3833043975128657
0, 16, -0.5383291738898777
29, 7, -0.4200614056164093
12, 14, -1.061250151234019
36, 0, 0.8577336726511656
1, 16, 0.1184696950079306
33, 4, 0.7285942436026404
34, 3, -0.1252586081836727
32, 5, -1.130971418290133
8, 15, 0.7078996462316732
19, 12, -0.3651388211936549
16, 13, 0.2597253094432309
35, 2, 0.9715461809657273
26, 9, -0.6396992862819031
24, 10, 0.3233923536433304
2, 16, -0.3072243097666707
31, 6, 0.289256845188498
28, 8, 0.5061326100359018
22, 11, 0.6563792558888989
13, 14, -0.1844276853956624
36, 1, -0.1010836426183824
3, 16, 1.01499358054976
9, 15, -0.8019309849409041
30, 7, 0.4513265672514862
17, 13, 0.6034995986726822
20, 12, -0.1953941631713768
4, 16, 0.8128682713440856
37, 0, -0.3738415507667754
34, 4, 0.2436356651865428
14, 14, -0.9095928997220082
-8, 17, 0.4699272057070836
35, 3, -0.1525485938349514
25, 10, 0.5498110556542543
10, 15, -1.005706989487795
-7, 17, -0.3482021870089799
27, 9, -0.6996414540314978
33, 5, -0.1372963281314849
-6, 17, -0.3428124032255901
5, 16, 0.6284639864343831
-5, 17, 0.3655085434062506
23, 11, 0.07539224256789563
36, 2, -0.7989595690432884
29, 8, -0.9028595582805146
-4, 17, 1.182851358930676
32, 6, -0.5086338321867936
18, 13, 0.5156385811007742
-3, 17, 0.8241737781297025
37, 1, 0.4875024878219746
11, 15, -0.4312437197063764
6, 16, -0.8875236575116662
21, 12, 0.131764359890121
15, 14, 0.1263721344581078
-2, 17, -0.477410528272457
31, 7, 0.5061357039489249
-1, 17, 0.6020025178239669
26, 10, 1.071395408207535
28, 9, -0.191483914293273
7, 16, 0.06840212160973269
38, 0, -0.6446306290914056
35, 4, 0.712570370162377
24, 11, -0.2425778674171696
0, 17, -0.7286026450224701
36, 3, -1.638907978261988
12, 15, 1.20207527526285
34, 5, 0.04607869852862059
19, 13, 1.156227546958686
30, 8, 0.6572474506378659
16, 14, 0.355059882855542
37, 2, 0.8502690103806744
1, 17, -0.8925305236350481
33, 6, -0.3480245318669842
22, 12, 0.02112106179175973
8, 16, -0.08401309245469846
2, 17, -1.045119461793952
38, 1, 1.045966145917996
13, 15, 0.1190037984205207
32, 7, 0.3080756367888643
27, 10, -0.6552802906055892
25, 11, -0.3989060731818601
20, 13, -0.4405447995105378
9, 16, -0.7437219704580892
3, 17, 0.3882417769593025
29, 9, 0.6394487108249712
17, 14, -1.131312341209193
36, 4, 0.3388284004383097
39, 0, -0.48399195658573
37, 3, 0.8105685900183063
35, 5, -0.7744214266524246
23, 12, 0.2270241364440483
31, 8, -0.9645056225741162
4, 17, 0.8049369213154404
14, 15, -0.1134777113681283
-9, 18, -1.928917749012786
38, 2, 0.1739036266183847
34, 6, -1.256310428277649
10, 16, 0.9464760529423776
-8, 18, 0.3035920318646915
-7, 18, -0.2920300550771701
-6, 18, 0.400878570829519
5, 17, 0.7544058274820175
-5, 18, -0.98302418518197
18, 14, -0.5215251270229585
21, 13, -0.2102944969597123
28, 10, -0.8152638765496604
-4, 18, 0.4301635182155676
39, 1, -0.05127795023990164
33, 7, 0.1531953019395895
26, 11, 0.1225983405093758
30, 9, 1.527433645223711
15, 15, 1.004971673217228
-3, 18, -1.319866971483787
11, 16, 0.4669044543229539
6, 17, 0.1419197287501446
24, 12, 0.4903479812338685
-2, 18, -0.9902603923684778
37, 4, 0.5202614553023235
40, 0, 0.06623378914929773
32, 8, -0.04282999730182973
36, 5, -0.5188740132202253
38, 3, 0.4394902038226871
-1, 18, 0.6304909692975628
19, 14, -0.3795973922726111
7, 17, 0.5644865656890647
35, 6, -1.147633642622653
22, 13, 0.5930014760221737
12, 16, 0.3315814311196248
39, 2, 0.2638804247255908
0, 18, 0.9605224253112247
16, 15, 0.6561766936955964
29, 10, 0.9490547390476829
27, 11, -0.7528349138427598
34, 7, -0.2548798655256516
1, 18, 0.3435427690071586
40, 1, -0.3232778226296892
31, 9, -0.8984808690832847
25, 12, 0.5004204094281856
8, 17, -0.1627257108027884
13, 16, -0.920108850260533
20, 14, -1.960789065065046
2, 18, 0.6077450074361157
17, 15, -0.373912987463222
33, 8, -0.2161900263905786
23, 13, 0.2473160458557782
38, 4, -0.4128730353538545
37, 5, 0.8089884445723121
9, 17, -0.1507604333539344
41, 0, -0.3952293965351484
39, 3, -1.175765664696995
3, 18, 0.8343591802223677
36, 6, -0.7611718875567364
28, 11, 0.2193295127241999
40, 2, 1.405247889663908
30, 10, -1.232041749830951
14, 16, -0.4921298527931427
26, 12, 0.478493629766121
4, 18, 0.1615519452508832
35, 7, -0.919033503202928
21, 14, 0.7450416538117108
10, 17, 0.8535775282985024
-9, 19, 0.1798184224047579
32, 9, -0.04491304375042632
-8, 19, 0.2925346557304901
18, 15, -1.07100756010362
-7, 19, 0.189721777317988
41, 1, 0.7684188631073176
-6, 19, -0.2351323080451532
24, 13, 0.5751922622186754
5, 18, -0.1739915283110791
-5, 19, -1.266940224879019
15, 16, -1.249308449741218
-4, 19, 0.3167095842749107
34, 8, 0.08881424734605212
11, 17, -0.0773266997703192
39, 4, 0.02413513437078106
-3, 19, -0.2778642735800705
38, 5, -0.8312599368398299
42, 0, 2.446834102608485
6, 18, -1.168671010451136
40, 3, -0.5697551045931897
29, 11, -0.2902409567258226
37, 6, 0.2537059358607371
