d = 19, symClass = D, r = 19.00621499008057, D = 16, Y = 0.1302219288357424
max of |f(z) - f(z^*)| for 100 points = 4.055933366942099e-11; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = 6.796702090028361e-12, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = -4.376832229979755e-12, 
confident_r = 19.0062149
17, 11, -0.2463698909126878
-4, 15, 0.2434741359947709
14, 12, 1.792674608832384
22, 9, 0.7398568601551649
24, 8, 0.4518961805725087
33, 0, -1.842350826178115
-3, 15, -0.5548472634144188
31, 3, 0.6537810039832095
-2, 15, 0.05552912112370655
30, 4, -0.2175739011946893
20, 10, 2.196063852187922
6, 14, -0.5066546000006911
26, 7, -1.092143517775847
32, 2, 0.4672709895805492
11, 13, -1.535748786025494
29, 5, -0.2390778422218683
-1, 15, -0.6715580363087432
0, 15, -0.47796396087007
15, 12, 0.3392551263970694
33, 1, 0.3972318755302285
18, 11, -0.3948980808500498
7, 14, -0.03024077642726676
28, 6, 0.4843466294636505
23, 9, -0.4874501895752538
1, 15, 0.4081719631528798
25, 8, -0.9274700819965073
12, 13, 1.029515075044575
21, 10, 0.4118557500481333
34, 0, 0.948335820268675
8, 14, 0.3893792497047733
2, 15, 0.02230216329916307
27, 7, 0.5744274804755847
32, 3, 0.8215076263551482
31, 4, -0.5206420376592866
16, 12, -1.810218469235517
33, 2, 0.1771957089892668
30, 5, 0.0243314477521593
19, 11, -0.1852198508782287
3, 15, 0.2330479142092223
13, 13, 0.8362186562858098
9, 14, -0.7045240095602351
34, 1, -1.048156724116424
29, 6, 0.8902954555859577
24, 9, -0.05567723111141694
4, 15, -0.8786671690970107
26, 8, 0.1163559611964526
22, 10, 1.465217681514216
17, 12, 0.2758399387587133
-8, 16, -0.09745902724343489
-7, 16, 0.8756261390567471
10, 14, 1.399771735892032
-6, 16, -1.238801346761751
14, 13, -0.09300353011875925
35, 0, 0.508193470411349
28, 7, -0.08379724365050048
20, 11, -0.2897988029449273
5, 15, -0.01960960255083608
-5, 16, 0.2962657520088109
32, 4, 1.540572412544693
-4, 16, 0.699132987090759
33, 3, 0.4870340695649514
31, 5, 0.7263113326915159
-3, 16, -0.09406049260552213
34, 2, 1.421685164971055
6, 15, -1.053523106060659
-2, 16, -0.07928173636809147
25, 9, -1.274758934616149
11, 14, 1.218223781627216
23, 10, -0.3661154708845387
30, 6, 2.136931539973641
18, 12, -2.538793253461
35, 1, -0.5070306298573733
27, 8, 0.518415005280868
15, 13, 0.5234767948555141
-1, 16, -0.5808618236901826
21, 11, 0.4148855206322544
7, 15, 0.1026803870254493
0, 16, -0.07950718924411591
29, 7, 0.2867924038065801
12, 14, 0.03736409234345557
36, 0, 2.315111206144865
1, 16, 0.07907192907713956
33, 4, 0.7425162624518652
34, 3, 1.640578276038756
32, 5, 0.6424504829762611
8, 15, 0.5552050657346966
19, 12, -1.180522665210531
16, 13, -0.7993896356867849
35, 2, 0.3655122729802083
26, 9, -0.7387835760387127
24, 10, 0.8338042360621364
2, 16, -0.7954777033677428
31, 6, -0.07027115249422064
28, 8, 2.617258673656704
22, 11, 0.2566749901610197
13, 14, -0.5550030752930688
36, 1, -1.12403175408775
3, 16, 0.8327289167773601
9, 15, 0.9210351608739094
30, 7, -0.730894146587198
17, 13, 1.046413971370614
20, 12, -1.531616530633742
4, 16, 1.706225999865431
37, 0, -0.2455201862437184
34, 4, -0.4311381307290947
14, 14, 1.301916825062518
-8, 17, -0.7995535133026446
35, 3, -0.03485209540282468
25, 10, 0.4040013226100501
10, 15, 0.3201348607345491
-7, 17, -0.4791341724410223
27, 9, -0.4042967823734006
33, 5, 0.3155979958164245
-6, 17, 0.1415500975058524
