d = 19, symClass = C, r = 24.62833458569262, D = 16, Y = 0.1400295364631172
max of |f(z) - f(z^*)| for 100 points = 1.002731231380949e-11; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = -3.498312750593868e-13, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = -3.633759959598137e-13, 
confident_r = 24.628334585
39, 2, 0.6609631560896372
0, 18, -0.4400906388473397
16, 15, 0.4051803928630087
29, 10, 0.1271017375129301
27, 11, 0.06852251516342854
34, 7, -0.6552069133109258
1, 18, 0.2564145413642435
40, 1, 0.4990235073246531
31, 9, 0.1257715877723295
25, 12, 0.07935652857506131
8, 17, -0.02597190762784578
13, 16, -0.6130392561792521
20, 14, -1.108068011336654
2, 18, 0.03222501279328678
17, 15, -0.8862590590242445
33, 8, -0.5200592139461802
23, 13, -0.02108135026977174
38, 4, 0.2551026469197713
37, 5, -0.1867815501773575
9, 17, 0.05228092648375426
41, 0, 0.8630048858158859
39, 3, 0.4920175171963488
3, 18, -0.3340223378835683
36, 6, 0.2982330800908145
28, 11, 0.4092904358426628
40, 2, 1.537937765066813
30, 10, -0.2253359638503167
14, 16, -1.784673960973093
26, 12, -0.1768208492536592
4, 18, 0.5220054369546412
35, 7, -0.2219623078505802
21, 14, -0.8109238826064785
10, 17, 0.04552589743187441
-9, 19, 0.7392798610468212
32, 9, 1.14411713529487
-8, 19, 0.9295365026965756
18, 15, 0.47387328286316
-7, 19, -0.06064606798600108
41, 1, -0.8760926483250858
-6, 19, 0.9395592644298044
24, 13, -0.7342958340714064
5, 18, 0.2992994936061684
-5, 19, 0.4552645529650595
15, 16, -1.129378913133797
-4, 19, 0.5155225412871682
34, 8, 0.3696932575802789
11, 17, 0.9593398741634929
39, 4, 0.105142103756975
-3, 19, -0.8293115432520406
38, 5, -0.1047365072147285
42, 0, -0.08719865032189666
6, 18, -0.3887217655511842
40, 3, 0.4424080150463668
29, 11, 0.595693736593869
37, 6, -0.07916797696121168
31, 10, -0.07730928881413932
19, 15, 0.6959107967879696
-2, 19, -0.09177040799251078
22, 14, 0.5399251201750109
27, 12, 0.1398000271064794
41, 2, 0.2706403540357759
-1, 19, 0.6128803818833668
33, 9, -0.2032008166019429
16, 16, 0.6928435003786558
36, 7, 0.6560489972844663
12, 17, 0.3901480665530028
25, 13, -0.536480920165369
7, 18, -1.160068215398688
0, 19, 0.4887720742012125
42, 1, 0.8429173802273481
35, 8, -0.03124065156213385
20, 15, 0.1490984673871086
1, 19, 0.1944990503986811
8, 18, 0.1511769855652817
23, 14, 0.6037966285889056
30, 11, -1.230889973888722
13, 17, -0.3927752116730767
40, 4, -0.2527640683182092
28, 12, -0.6666418996803534
39, 5, -0.4036574343449973
17, 16, 0.6639352236536644
32, 10, 0.1156985741930804
2, 19, 0.7005235745514387
43, 0, 0.1322902851209727
41, 3, 0.602274990033916
38, 6, -0.2975882014982602
26, 13, 0.4200912260002546
9, 18, -0.3267801046921786
34, 9, -0.03531845688541212
42, 2, -0.7128591601450188
3, 19, -0.08692772394185479
37, 7, -0.7204402615452618
14, 17, 0.6263459361694489
21, 15, 0.154257606174973
24, 14, 0.04372316365083504
18, 16, -0.5938806122765549
43, 1, 0.9357411709470724
4, 19, -0.2679057245318931
10, 18, 0.6204762735785387
-10, 20, 9.139080874180027e-16
-9, 20, -0.6961563655303155
36, 8, 0.2265092858484858
-8, 20, -0.4080594810765478
31, 11, -0.9720783931099525
29, 12, -0.7169396513790898
-7, 20, 0.1297610982418673
-6, 20, 0.20209554593186
33, 10, 0.3872414197272665
41, 4, 0.4547170105263537
40, 5, -0.3767902320547513
27, 13, -0.8672911372794616
15, 17, -0.1306774876930662
5, 19, -0.1319468063050075
-5, 20, 0.001159226483035945
42, 3, -0.04458595413474597
39, 6, -0.4318452838971716
44, 0, -0.07250453102844394
-4, 20, -0.2648127186046036
22, 15, 0.001283992458424691
11, 18, -0.2048577158485581
35, 9, 0.4823411313795267
19, 16, 0.7375500993327735
-3, 20, -0.1268744958337568
43, 2, 0.8036004943290659
38, 7, 0.0623646233423097
25, 14, -0.2644881438566022
6, 19, -1.336682623374952
-2, 20, 0.4963581494692864
16, 17, -1.00083007155106
30, 12, -0.260806544155593
12, 18, -0.7266761392568928
32, 11, 0.6665821565598407
