d = 19, symClass = C, r = 14.41478203521055, D = 16, Y = 0.1121146139348563
max of |f(z) - f(z^*)| for 100 points = 3.752775867837954e-12; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = -3.727462782876501e-12, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = -3.621103417117411e-12, 
confident_r = 14.414782035211
4, 16, -0.7287143189677333
37, 0, -0.1531477635084052
34, 4, -0.6466998003021536
14, 14, 0.3171973180661202
-8, 17, 1.241600161135085
35, 3, -1.39914390460801
25, 10, 0.2658472170311247
10, 15, -0.2658472170314731
-7, 17, 1.399143904607833
27, 9, -1.304326267887614
33, 5, 0.2021049251398118
-6, 17, -0.2021049251393409
5, 16, 1.110162339212779
-5, 17, 1.110162339213489
23, 11, -1.069592467310508e-12
36, 2, 0.9407826779756291
29, 8, 0.3036137827258903
-4, 17, 0.3036137827260366
32, 6, 0.7956655231525933
18, 13, -0.09246035114194492
-3, 17, -0.09246035114126534
37, 1, -0.3362215735347465
11, 15, -0.3362215735359017
6, 16, 2.125870758358482
21, 12, -1.432438134122229
15, 14, 1.498219688168756
-2, 17, -1.498219688167928
31, 7, 0.2173037783397479
-1, 17, -0.2724069059620629
26, 10, 3.055792168089846
28, 9, 0.1444948033011211
7, 16, -0.144494803301067
38, 0, 1.705078309687936
35, 4, 0.708032187101081
24, 11, -0.7080321871009431
0, 17, -0.1668514286834672
36, 3, -0.06912346862569618
12, 15, 0.06912346862517538
34, 5, -1.004480090531767
19, 13, -1.529589012091652
30, 8, -0.06833774293546815
16, 14, 0.06833774293800143
37, 2, -3.331609608745131e-13
1, 17, 7.483845446051782e-14
33, 6, -2.67944027704473
22, 12, -2.101735476366917
8, 16, 0.2771366811149846
2, 17, 0.8090693203555053
38, 1, -1.670344291262744
13, 15, -0.3995442821132217
32, 7, -0.829791627935009
27, 10, 0.7214928706750079
25, 11, 0.1734199158237334
20, 13, -0.1734199158228709
9, 16, -0.1734199158229449
3, 17, 0.1734199158236801
29, 9, 1.834414328471716
17, 14, 1.834414328471744
36, 4, 8.092571333258001e-13
39, 0, 3.975126387136463
37, 3, -0.1210713701114983
35, 5, -0.3950513271263664
23, 12, -0.1210713701111439
31, 8, -1.797578321007902
4, 17, 1.797578321007891
14, 15, 0.5307182824089215
-9, 18, 2.765394646742797e-15
38, 2, -0.3734240716665035
34, 6, 0.3734240716673793
10, 16, 0.3734240716666908
-8, 18, -0.3734240716669991
-7, 18, 0.5818048104209441
-6, 18, -3.492104557421459
5, 17, 0.428490584429659
-5, 18, 0.4284905844285283
18, 14, -1.801007022582855
21, 13, -0.5310690478817919
28, 10, -0.1333941343712738
-4, 18, 0.1333941343738419
39, 1, -0.8176946638834588
33, 7, 0.8176946638823435
26, 11, 0.8073368341516868
30, 9, -0.09051310047936052
15, 15, -0.2953408426279409
-3, 18, -0.0905131004791699
11, 16, -6.560377003731997e-13
6, 17, -1.707130741375229
24, 12, 4.933090860587761
-2, 18, -0.915254931195296
37, 4, 0.3793036843662443
40, 0, 1.184109862420981
32, 8, 0.3628941192231991
36, 5, 0.323214246849937
38, 3, 0.06557385944615549
-1, 18, -0.06557385944614463
19, 14, 1.505269230711825
7, 17, -0.0972335150069953
35, 6, -3.417274665113549e-13
22, 13, 3.158670858209148e-13
12, 16, -2.584826881913481
39, 2, -0.4504029311647164
