d = 19, symClass = C, r = 18.56400734520961, D = 16, Y = 0.1185646102314963
max of |f(z) - f(z^*)| for 100 points = 2.604416682316923e-12; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = 2.54827409174041e-13, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = 3.132077930345645e-13, 
confident_r = 18.56400734521
39, 0, 0.6052024375188577
37, 3, 0.3930376714060682
35, 5, 1.227710987969123
23, 12, 0.4317344444111876
31, 8, -1.715552596005381
4, 17, -1.675438003837709
14, 15, 0.6831576953440126
-9, 18, -5.004996968734411e-17
38, 2, 0.2158487132134045
34, 6, 0.1830061354982108
10, 16, -0.2262520077198442
-8, 18, -0.2608793794226168
-7, 18, 0.6398546838375894
-6, 18, 0.02944350389290916
5, 17, 1.676012570747414
-5, 18, -1.620486694713659
18, 14, -0.3223270595642226
21, 13, -0.6191952626248978
28, 10, 0.02206250108277814
-4, 18, -0.0673167377195231
39, 1, -0.3840096777506035
33, 7, -0.3402233140593155
26, 11, -1.751638744095611
30, 9, 0.3592934761565953
15, 15, 0.7355970236710827
-3, 18, 0.1348781322643363
11, 16, -0.5333487074221944
6, 17, 0.1510934799904526
24, 12, -0.07417113220966387
-2, 18, 0.09211652344170264
37, 4, -0.8780441066601631
40, 0, 0.7770788573395676
32, 8, 0.261019482437045
36, 5, -0.5901254611390534
38, 3, 0.9282078325006259
-1, 18, 0.1591338029236219
19, 14, 0.1250937955918224
7, 17, -0.6490170428959449
35, 6, 0.08907773692367296
22, 13, 0.1101016593213561
12, 16, 1.322612707750783
39, 2, 0.4179353194225794
0, 18, -0.001773062590004785
16, 15, -0.07477390544190249
29, 10, -0.008116852760808426
27, 11, 0.2960070488682208
34, 7, -1.142987509432004
1, 18, -1.250069716851
40, 1, 0.3288195491245256
31, 9, 0.3723449553139144
25, 12, -0.1559309306087225
8, 17, -0.1923210762282168
13, 16, -0.05063387516024588
20, 14, -0.2691820552402066
2, 18, -0.2521304077085255
17, 15, -1.334237515757219
33, 8, 0.6760031772604429
23, 13, 0.7886983059552034
38, 4, -0.008341727903386449
37, 5, -0.1489224790441571
9, 17, -0.06402475121567744
41, 0, 0.2428581143766051
39, 3, 0.4953959261238677
3, 18, -0.514673076247825
36, 6, -0.02312214287645923
28, 11, 0.3571537189135201
40, 2, 0.006048639382270554
30, 10, 0.04859617616655553
14, 16, 0.02659810845282096
26, 12, 0.1408485616001752
4, 18, 0.06193660429718338
35, 7, -0.4881587931550018
21, 14, -0.417974395337783
10, 17, 0.6068103554954678
-9, 19, 0.6335955652151087
32, 9, 0.1655746010156912
-8, 19, -0.1781737409336069
18, 15, 0.7491815751092924
-7, 19, -0.893006602129878
41, 1, 1.934567811633692
-6, 19, -1.876434957634401
24, 13, 0.9347493054086469
5, 18, -0.1340188693797997
-5, 19, 0.1079801249710943
15, 16, -0.189785892694594
-4, 19, -0.2001064330343816
34, 8, 0.04704788185070227
11, 17, 1.503679432911323
39, 4, -0.1578476768828955
-3, 19, 0.4624070579971116
38, 5, 0.8323498510727503
42, 0, -0.1680677066507709
6, 18, -0.002764861350265197
40, 3, -0.6832016909153517
29, 11, -0.7842201931365064
37, 6, 1.593484905489442
31, 10, -1.90749747466086
19, 15, 2.037375416646026
-2, 19, 1.653864024233178
22, 14, 0.108434584247589
